Стоимость тарифа,Дата создания,Глубина бронирования,Дата заезда,День,Количество бронирований
4,2015-05-18,16,2015-06-01,3,158
4,2015-05-18,16,2015-06-02,3,159
4,2015-05-18,21,2015-06-03,3,160
4,2015-05-18,18,2015-06-04,5,161
4,2015-05-18,18,2015-06-05,4,162
4,2015-05-18,24,2015-06-06,4,163
5,2015-08-31,5,2015-09-02,2,251
4,2015-11-19,2,2015-11-19,1,329
7,2015-12-22,4,2015-12-24,5,364
7,2015-12-22,3,2015-12-25,6,365
12,2015-12-23,8,2015-12-29,1,369
3,2015-12-10,2,2015-12-11,3,351
6,2015-01-22,33,2015-02-19,5,56
6,2015-01-22,30,2015-02-20,5,57
6,2015-01-22,30,2015-02-21,3,58
6,2015-01-22,34,2015-02-22,3,59
6,2015-01-22,37,2015-02-23,1,60
6,2015-01-22,36,2015-02-24,2,61
6,2015-01-22,36,2015-02-25,2,62
6,2015-01-22,40,2015-02-26,3,63
6,2015-01-22,36,2015-02-27,3,64
6,2015-01-22,39,2015-02-28,3,65
6,2015-01-22,40,2015-03-01,4,66
8,2015-01-15,10,2015-01-23,6,29
8,2015-01-15,13,2015-01-24,6,30
10,2015-01-18,17,2015-01-31,3,37
10,2015-01-18,15,2015-02-01,1,38
10,2015-01-18,17,2015-02-02,4,39
10,2015-01-18,18,2015-02-03,4,40
10,2015-01-18,21,2015-02-04,5,41
10,2015-01-18,18,2015-02-05,6,42
10,2015-01-18,19,2015-02-06,6,43
9,2015-02-07,3,2015-02-07,6,44
10,2015-03-23,5,2015-03-24,5,89
10,2015-03-23,6,2015-03-25,4,90
10,2015-03-23,6,2015-03-26,3,91
11,2015-03-15,9,2015-03-20,3,85
11,2015-03-15,6,2015-03-21,4,86
3,2015-05-29,15,2015-06-12,6,169
5,2015-09-22,5,2015-09-22,2,271
5,2015-09-22,6,2015-09-23,1,272
5,2015-08-30,2,2015-08-30,2,248
10,2015-01-21,11,2015-01-31,4,37
10,2015-01-21,11,2015-02-01,2,38
10,2015-01-21,12,2015-02-02,5,39
10,2015-01-21,16,2015-02-03,5,40
10,2015-01-21,14,2015-02-04,6,41
10,2015-01-21,17,2015-02-05,7,42
10,2015-01-21,17,2015-02-06,7,43
9,2015-02-07,1,2015-02-07,7,44
7,2015-03-16,17,2015-03-28,3,93
7,2015-03-16,15,2015-03-29,2,94
7,2015-03-16,19,2015-03-30,1,95
5,2015-05-01,1,2015-05-01,2,127
7,2015-07-09,33,2015-08-08,1,226
7,2015-07-09,31,2015-08-09,1,227
7,2015-07-09,34,2015-08-10,1,228
7,2015-07-09,33,2015-08-11,1,229
7,2015-07-09,34,2015-08-12,1,230
7,2015-07-09,37,2015-08-13,1,231
7,2015-07-09,38,2015-08-14,2,232
4,2015-09-22,9,2015-09-28,2,277
4,2015-09-22,10,2015-09-29,2,278
4,2015-09-22,9,2015-09-30,2,279
4,2015-09-22,14,2015-10-01,2,280
3,2015-10-02,5,2015-10-02,1,281
3,2015-10-02,2,2015-10-03,1,282
3,2015-10-02,2,2015-10-04,1,283
3,2015-10-02,7,2015-10-05,2,284
3,2015-10-02,4,2015-10-06,3,285
5,2015-10-24,5,2015-10-24,1,303
7,2015-12-22,7,2015-12-24,6,364
